id,name,diameter_min_km,orbits,orbit_dates
3843208,(2019 NB5),0.2315021222,"['(2019 NB5)', '(2019 NB5)', '(2019 NB5)']","['2020-01-06', '2019-08-16', '2018-07-17']"
3843700,(2019 QC6),0.0483676488,"['(2019 QC6)', '(2019 QC6)']","['2020-01-04', '2019-09-04']"
3893768,(2019 WH6),0.4619074603,"['(2019 WH6)', '(2019 WH6)']","['2020-01-07', '2016-08-12']"
3591759,(2011 YE40),0.0242412481,['(2011 YE40)'],['2020-01-01']
3973548,(2020 AJ1),0.058150704,"['(2020 AJ1)', '(2020 AJ1)']","['2020-01-07', '2018-07-24']"
3252104,(2004 RO111),0.0608912622,"['(2004 RO111)', '(2004 RO111)', '(2004 RO111)', '(2004 RO111)', '(2004 RO111)']","['2020-01-04', '2019-07-18', '2019-02-21', '2018-05-15', '2017-05-26']"
3971137,(2019 YL6),0.0231502122,"['(2019 YL6)', '(2019 YL6)', '(2019 YL6)']","['2020-01-02', '2019-08-05', '2018-11-07']"
2018172,18172 (2000 QL7),2.0162991944,['18172 (2000 QL7)'],['2020-01-08']
3943321,(2019 YV),0.0506471459,"['(2019 YV)', '(2019 YV)']","['2020-01-10', '2018-12-21']"
3795123,(2017 YK7),0.0350392641,"['(2017 YK7)', '(2017 YK7)', '(2017 YK7)']","['2020-01-08', '2018-01-07', '2017-09-05']"
